"","stationid","lat","lon","source"
"356","AU_0000085",-43.03454076,146.8419108,"gsim"
"357","AU_0000086",-19.63313611,147.1102778,"gsim"
"358","AU_0000087",-19.7751,146.9593889,"gsim"
"359","AU_0000088",-19.66886667,147.0248167,"gsim"
"360","AU_0000089",-19.69072778,147.169825,"gsim"
"361","AU_0000090",-20.006269,146.439048,"gsim"
"362","AU_0000091",-19.75856,147.24362,"gsim"
"363","AU_0000092",-20.626996,147.16528,"gsim"
"364","AU_0000093",-19.371448,146.361203,"gsim"
"365","AU_0000094",-19.681297,145.5402992,"gsim"
"366","AU_0000095",-19.16472,145.42184,"gsim"
"367","AU_0000096",-19.20732678,145.4950361,"gsim"
"368","AU_0000097",-19.37776667,146.0484833,"gsim"
"369","AU_0000098",-19.13121,145.909801,"gsim"
"370","AU_0000099",-18.513886,145.185085,"gsim"
"371","AU_0000100",-19.812,146.02435,"gsim"
"372","AU_0000101",-18.66421667,145.0924667,"gsim"
"373","AU_0000102",-20.5820888,147.5981027,"gsim"
"374","AU_0000103",-20.91759,148.32469,"gsim"
"375","AU_0000104",-20.75245056,147.88185,"gsim"
"376","AU_0000105",-21.19426,148.44784,"gsim"
"377","AU_0000106",-40.00503871,148.1221768,"gsim"
"378","AU_0000107",-21.533111,146.859645,"gsim"
"379","AU_0000108",-20.99956331,146.4271187,"gsim"
"380","AU_0000109",-21.22904875,146.9133949,"gsim"
"381","AU_0000110",-21.4503611,147.7143083,"gsim"
"382","AU_0000111",-23.57570667,146.6743528,"gsim"
"383","AU_0000112",-20.476143,145.475006,"gsim"
"384","AU_0000113",-21.95652128,146.9421904,"gsim"
"385","AU_0000114",-21.537452,147.042362,"gsim"
"386","AU_0000115",-20.2887527,148.1174111,"gsim"
"387","AU_0000116",-19.93333333,147.8407222,"gsim"
"388","AU_0000117",-20.14934444,148.1555389,"gsim"
"389","AU_0000118",-20.00487,148.12982,"gsim"
"390","AU_0000119",-20.30044,148.54839,"gsim"
"391","AU_0000120",-20.39166667,148.5983333,"gsim"
"392","AU_0000121",-20.65255556,148.573,"gsim"
"393","AU_0000122",-20.9058027,148.7596638,"gsim"
"394","AU_0000123",-20.5740111,148.4696861,"gsim"
"395","AU_0000124",-21.03416667,148.86,"gsim"
"396","AU_0000125",-20.72313889,148.5958611,"gsim"
"397","AU_0000126",-21.27237,148.8203,"gsim"
"398","AU_0000127",-21.178275,148.7435527,"gsim"
"399","AU_0000128",-21.3228,148.8351167,"gsim"
"400","AU_0000129",-21.1120083,148.6353722,"gsim"
"401","AU_0000130",-21.17712,148.83108,"gsim"
"402","AU_0000131",-21.1326805,148.6492333,"gsim"
"403","AU_0000132",-21.1419305,149.0760833,"gsim"
"404","AU_0000133",-21.2832888,149.0225055,"gsim"
"405","AU_0000134",-21.91569444,149.3985556,"gsim"
